Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,-6.1,-25.2,180.0,top
C2,22u,C_0805_2012Metric,-6.1,-23.2,180.0,top
C3,100n,C_0402_1005Metric,0.1,-27.6,-90.0,top
C4,22u,C_0805_2012Metric,0.6,-30.5,-90.0,top
C5,22u,C_0805_2012Metric,2.600001,-30.5,-90.0,top
C6,4u7,C_0402_1005Metric,12.2,-27.8,90.0,top
C7,4u7,C_0402_1005Metric,13.4,-27.8,90.0,top
C8,4u7,C_0402_1005Metric,14.6,-27.8,90.0,top
C9,4u7,C_0402_1005Metric,15.8,-27.8,90.0,top
C10,220u,CP_Elec_8x10,-4.8,-12.599999,-90.0,top
C11,220u,CP_Elec_8x10,4.2,-12.6,-90.0,top
C12,22u,C_0805_2012Metric,18.0,-9.25,-90.0,top
C13,22u,C_0805_2012Metric,28.0,-9.25,-90.0,top
C14,22u,C_0805_2012Metric,38.0,-9.25,-90.0,top
C15,22u,C_0805_2012Metric,48.0,-9.25,-90.0,top
C16,22u,C_0805_2012Metric,58.0,-9.25,-90.0,top
C17,220u,CP_Elec_8x10,68.0,-12.6,-90.0,top
C18,22u,C_0805_2012Metric,61.4,-9.25,-90.0,top
C19,4u7,C_0402_1005Metric,52.2,-41.980001,-90.0,top
C20,4u7,C_0402_1005Metric,51.1,-41.980001,-90.0,top
C21,100n,C_0402_1005Metric,50.0,-41.980001,-90.0,top
C22,4u7,C_0402_1005Metric,77.4,-28.36,90.0,top
C23,4u7,C_0402_1005Metric,81.94,-36.39,180.0,top
C24,100n,C_0402_1005Metric,55.05,-33.32,90.0,top
C25,1u,C_0402_1005Metric,55.05,-36.92,90.0,top
D1,SS14,D_SMA,-6.2,-5.2,0.0,top
D2,SS14,D_SMA,-6.2,-1.6,0.0,top
D3,Y,LED_0603_1608Metric,91.2,-3.6,180.0,top
D4,Y,LED_0603_1608Metric,91.2,-0.4,180.0,top
D5,SS14,D_SMA,7.8,-33.1,180.0,top
D6,SS14,D_SMA,7.8,-29.5,180.0,top
D7,WS2812,LED_WS2812_2020,-8.2,-29.835,-90.0,top
D8,SS14,D_SMA,13.0,-7.4,0.0,top
D9,SS14,D_SMA,23.0,-7.4,0.0,top
D10,SS14,D_SMA,33.0,-7.4,0.0,top
D11,SS14,D_SMA,43.0,-7.4,0.0,top
D12,SS14,D_SMA,53.0,-7.4,0.0,top
D13,SS14,D_SMA,78.0,-7.4,0.0,top
D14,SS14,D_SMA,13.0,-11.0,180.0,top
D15,SS14,D_SMA,23.0,-11.0,180.0,top
D16,SS14,D_SMA,33.0,-11.0,180.0,top
D17,SS14,D_SMA,43.0,-11.0,180.0,top
D18,SS14,D_SMA,53.0,-11.0,180.0,top
D19,SS14,D_SMA,78.0,-11.0,180.0,top
D20,Y,LED_0603_1608Metric,8.524999,-20.300001,0.0,top
D21,Y,LED_0603_1608Metric,18.524999,-20.300001,0.0,top
D22,Y,LED_0603_1608Metric,28.524999,-20.300001,0.0,top
D23,Y,LED_0603_1608Metric,38.524999,-20.300001,0.0,top
D24,Y,LED_0603_1608Metric,48.524999,-20.300001,0.0,top
D25,Y,LED_0603_1608Metric,73.524999,-20.300001,0.0,top
F1,500 mA,Fuse_0603_1608Metric,1.4125,-34.7,0.0,top
J1,ST1,TerminalBlock_Ningbo_Kangnex _WJ128V-5.0-6P_1x06_P5.00mm_Horizontal,12.5,0.15,180.0,top
J2,ST2,TerminalBlock_Ningbo_Kangnex _WJ128V-5.0-6P_1x06_P5.00mm_Horizontal,42.5,0.15,180.0,top
J3,ST3,TerminalBlock_Ningbo_Kangnex _WJ128V-5.0-6P_1x06_P5.00mm_Horizontal,72.5,0.15,180.0,top
J4,HRO M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-6.2,-37.15,-90.0,top
J5,UART,PinHeader_1x04_P2.54mm_Vertical,27.08,-42.6,180.0,top
J6,scd40,PinHeader_1x04_P2.54mm_Vertical,74.8,-30.1,90.0,top
J7,bme280,PinHeader_1x04_P2.54mm_Vertical,78.62,-39.0,0.0,top
J9,EXP2,TerminalBlock_DIBO_DB125-3.5-4P-GN-S_1x04_P3.50mm_Horizontal,88.5,-13.75,90.0,top
L1,4u7,L_Changjiang_FNR3012S,-2.3,-28.4,90.0,top
Q1,AO4404B,SOIC-8_3.9x4.9mm_P1.27mm,12.525,-15.5,270.0,top
Q2,AO4404B,SOIC-8_3.9x4.9mm_P1.27mm,22.525,-15.5,270.0,top
Q3,AO4404B,SOIC-8_3.9x4.9mm_P1.27mm,32.525,-15.5,270.0,top
Q4,AO4404B,SOIC-8_3.9x4.9mm_P1.27mm,42.525,-15.5,270.0,top
Q5,AO4404B,SOIC-8_3.9x4.9mm_P1.27mm,52.525,-15.5,270.0,top
Q6,AO4404B,SOIC-8_3.9x4.9mm_P1.27mm,77.525,-15.5,270.0,top
R1,10k,R_0402_1005Metric,-2.9,-22.4,0.0,top
R2,51k,R_0402_1005Metric,1.8,-24.29,90.0,top
R3,10k,R_0402_1005Metric,0.7,-24.29,-90.0,top
R4,51k,R_0402_1005Metric,89.0,-3.6,90.0,top
R5,51k,R_0402_1005Metric,89.0,-0.4,-90.0,top
R6,5k1,R_0402_1005Metric,5.0,-36.15,0.0,top
R7,5k1,R_0402_1005Metric,5.0,-39.15,0.0,top
R8,10k,R_0402_1005Metric,55.05,-39.0,90.0,top
R9,3k3,R_0402_1005Metric,53.85,-39.0,-90.0,top
R10,0R,R_0402_1005Metric,34.6,-33.199999,90.0,top
R11,0R,R_0402_1005Metric,33.4,-33.199999,90.0,top
R12,0R,R_0402_1005Metric,32.2,-33.199999,90.0,top
R13,0R,R_0402_1005Metric,30.4,-33.199999,90.0,top
R14,0R,R_0402_1005Metric,29.200001,-33.199999,90.0,top
R15,0R,R_0402_1005Metric,28.0,-33.2,90.0,top
R16,100,R_0402_1005Metric,11.125,-18.9,180.0,top
R17,100,R_0402_1005Metric,21.124999,-18.9,180.0,top
R18,100,R_0402_1005Metric,31.124999,-18.9,180.0,top
R19,100,R_0402_1005Metric,41.124999,-18.9,180.0,top
R20,100,R_0402_1005Metric,51.124999,-18.9,180.0,top
R21,100,R_0402_1005Metric,76.125,-18.9,180.0,top
R22,3k3,R_0402_1005Metric,11.125,-20.3,180.0,top
R23,10k,R_0402_1005Metric,8.925,-18.9,180.0,top
R24,3k3,R_0402_1005Metric,21.125,-20.300001,180.0,top
R25,10k,R_0402_1005Metric,18.925001,-18.9,180.0,top
R26,3k3,R_0402_1005Metric,31.125,-20.3,180.0,top
R27,10k,R_0402_1005Metric,28.925001,-18.9,180.0,top
R28,3k3,R_0402_1005Metric,41.125,-20.3,180.0,top
R29,10k,R_0402_1005Metric,38.925001,-18.9,180.0,top
R30,3k3,R_0402_1005Metric,51.125,-20.3,180.0,top
R31,10k,R_0402_1005Metric,48.925001,-18.9,180.0,top
R32,3k3,R_0402_1005Metric,76.125,-20.3,180.0,top
R33,10k,R_0402_1005Metric,73.925001,-18.9,180.0,top
R34,100R,R_0402_1005Metric,87.0,-28.6,90.0,top
R35,100R,R_0402_1005Metric,85.8,-28.6,90.0,top
SW1,BOOT,SW_T1A2QR,52.65,-33.32,0.0,top
SW2,RST,SW_T1A2QR,52.65,-36.92,0.0,top
U1,TPMP2359DJ,SOT-23-6,-2.0,-24.8,90.0,top
U2,SRV05-4,SOT-23-6-routable,2.2,-37.65,270.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,15.2,-33.8,90.0,top
U4,ESP32-C6-MINI-1/U,ESP32-C6-MINI-1,42.5,-41.800001,180.0,top
U5,SRV05-4,SOT-23-6-routable,67.4,-40.44,270.0,top
